build_number,device_id,first_seen,hostname,kernel_version,last_seen,local_ip,os_build,os_version,platform_name,status
19045,b1cecb7c737c4881b728d6c59d450ddf,2022-06-29T05:45:55Z,BELAP0021,10.0.19045.2364,2022-12-28T12:10:47Z,192.168.0.2,19045,Windows 10,Windows,normal
19043,17b0f8cec30c4fb386af0a65ca4ee2c3,2022-08-10T10:50:32Z,BELAP0022,10.0.19043.928,2022-12-28T11:24:57Z,192.168.0.212,19043,Windows 10,Windows,normal
19044,7d0190a981b349ba96b17d3e05c4cd67,2022-09-21T07:03:41Z,BELAP0023,10.0.19044.2006,2022-11-22T16:04:26Z,10.7.6.16,19044,Windows 10,Windows,normal
19045,341cf342a9964caea97c2519239c805a,2022-06-29T10:03:26Z,BELAP0024,10.0.19045.2251,2022-12-28T10:44:48Z,192.168.0.188,19045,Windows 10,Windows,normal
19045,e33d4e053e3347a68462e295eb8d48af,2022-06-29T10:03:37Z,BELAP0025,10.0.19045.2251,2022-12-28T12:10:38Z,192.168.0.124,19045,Windows 10,Windows,normal
19045,ca2a8e4c38634aa8b2d534190fac5cb0,2022-06-29T11:46:48Z,BELAP0026,10.0.19045.2251,2022-12-27T21:00:54Z,192.168.0.199,19045,Windows 10,Windows,normal
19045,135a465c8b5b47228595da35befa751e,2022-06-29T10:04:00Z,BELAP0027,10.0.19045.2364,2022-12-28T12:13:11Z,10.2.162.125,19045,Windows 10,Windows,normal
19044,ed67723b5c0144e7aeb39bb5a31bea37,2022-08-01T13:41:02Z,BELAP0028,10.0.19044.2006,2022-12-28T12:07:03Z,172.16.5.161,19044,Windows 10,Windows,normal
19045,ee38756fb0dc4f918ae1c5f9562fcc8b,2022-06-29T10:03:56Z,BELAP0029,10.0.19045.2251,2022-12-23T15:50:21Z,192.168.1.30,19045,Windows 10,Windows,normal
19045,5e5f593b3e68497eab8b1ae1c78e8760,2022-06-29T12:44:16Z,BELAP0030,10.0.19045.2364,2022-12-27T09:55:27Z,192.168.0.115,19045,Windows 10,Windows,normal
19045,a4da434e3a4c40e287fead9d84633054,2022-06-29T12:56:50Z,BELAP0031,10.0.19045.2364,2022-12-26T12:14:05Z,192.168.0.200,19045,Windows 10,Windows,normal
19045,54ccb66c067b4a948221d5260f05d23f,2022-08-18T09:52:40Z,BELAP0033,10.0.19045.2251,2022-12-23T20:18:22Z,192.168.0.37,19045,Windows 10,Windows,normal
19043,6ee652d0f6f340cda924171d2cdb4466,2022-10-17T09:47:45Z,DSK021,10.0.19043.1083,2022-12-14T13:44:52Z,10.4.2.14,19043,Windows 10,Windows,normal
19045,8262d2a4d71c4682b5c8978453874393,2021-12-28T12:22:11Z,DSK064,10.0.19045.2364,2022-12-23T15:55:32Z,192.168.1.110,19045,Windows 10,Windows,normal
19045,9bc7c69d571a41b8977e323ac8b89877,2022-02-16T00:13:52Z,DSK251-VM,10.0.19045.2364,2022-12-28T12:07:24Z,10.2.49.63,19045,Windows 10,Windows,normal
18363,7a3d761bcda044748b5608f6c9be049c,2022-02-16T00:03:26Z,LAP021VM,10.0.18363.2274,2022-12-28T12:08:00Z,192.168.56.1,18363,Windows 10,Windows,normal
7601,a0cd2ab95f8f41c897c06bd73493d725,2022-11-26T23:19:03Z,LAP023,6.1.7601.23572,2022-12-01T02:35:35Z,10.2.49.180,7601,Windows 7,Windows,normal
19042,2f513eaa1eba4c7a9fec860c02cd9303,2022-04-26T08:34:33Z,LAP306,10.0.19042.2251,2022-12-28T12:06:01Z,10.2.162.114,19042,Windows 10,Windows,normal
19044,a90c2e8353914870b4c406b73f5f4c53,2022-04-07T13:14:58Z,LAP340-VM,10.0.19044.1889,2022-12-28T12:10:33Z,172.24.80.1,19044,Windows 10,Windows,normal
19045,4e2b3d23f97d471098514b0bea4a6155,2022-01-13T18:47:48Z,LAP513,10.0.19045.2251,2022-12-20T10:03:13Z,10.3.6.147,19045,Windows 10,Windows,normal
19045,db426f402c344a02a6175eed7b0263f7,2022-04-25T14:32:10Z,LAP530,10.0.19045.2364,2022-12-28T12:08:46Z,10.3.2.5,19045,Windows 10,Windows,normal
19044,6ab831f37ade44bfbee1127c7db5bfff,2022-01-24T09:33:28Z,LAP700,10.0.19044.1889,2022-12-28T12:04:03Z,192.168.1.26,19044,Windows 10,Windows,normal
19044,67ccc418d9fc4266ab0ddebb6b3df78a,2022-04-25T14:32:16Z,LAP701,10.0.19044.1889,2022-12-28T12:03:44Z,10.2.162.118,19044,Windows 10,Windows,normal
19045,dd57a098568d4eba93d1273cbdee722f,2022-02-28T09:30:58Z,LAP702,10.0.19045.2364,2022-12-26T11:11:24Z,10.2.162.97,19045,Windows 10,Windows,normal
19044,1ee2f9228b8e44d6a4f0488328ce7bff,2022-04-25T13:31:52Z,LAP703,10.0.19044.1889,2022-12-28T12:10:08Z,192.168.0.18,19044,Windows 10,Windows,normal
19045,31885217b7f3433d9a2d8520fbc8063f,2022-04-26T06:31:41Z,LAP705,10.0.19045.2251,2022-12-22T16:19:19Z,10.3.6.8,19045,Windows 10,Windows,normal
19043,0aff48a94a9244dbb860a93da06a2b87,2022-02-14T11:08:25Z,LAP706,10.0.19043.928,2022-12-06T11:07:49Z,10.3.6.100,19043,Windows 10,Windows,normal
19044,5cd5a1de35ec4e4c880d897c4beabcba,2022-12-13T17:01:39Z,LAP706,10.0.19044.1889,2022-12-13T17:09:32Z,10.3.2.31,19044,Windows 10,Windows,normal
19044,11905f13a8ce4dd0b5cc33ce03879624,2022-04-26T06:33:19Z,LAP708,10.0.19044.2364,2022-12-26T16:25:55Z,10.3.101.25,19044,Windows 10,Windows,normal
19045,d5aa88e5530b4494a3261d15b3ced832,2022-04-25T14:32:10Z,LAP709,10.0.19045.2364,2022-12-16T20:16:17Z,192.168.1.21,19045,Windows 10,Windows,normal
19045,5d992be2af6045eb990d642dcaab452d,2022-04-26T07:31:58Z,LAP710,10.0.19045.2364,2022-12-28T12:12:52Z,10.3.2.42,19045,Windows 10,Windows,normal
19045,86281a503f3346758a4b476ea0a94357,2022-04-26T06:31:34Z,LAP711,10.0.19045.2364,2022-12-23T15:55:23Z,10.3.2.12,19045,Windows 10,Windows,normal
19045,06bcafac8ae54f5dbd12ad0cba2fa7d5,2022-09-08T16:56:27Z,LAP713,10.0.19045.2251,2022-12-28T12:08:53Z,10.3.2.28,19045,Windows 10,Windows,normal
19045,3a1021a2c63c4292a3c0c4a973a21353,2022-03-02T08:14:39Z,LAP714,10.0.19045.2251,2022-12-27T21:09:32Z,10.2.163.152,19045,Windows 10,Windows,normal
19045,1b7d3ab9d595407c9a033bcca3d79d87,2022-06-02T09:04:13Z,LAP715,10.0.19045.2364,2022-12-28T12:03:35Z,192.168.50.100,19045,Windows 10,Windows,normal
19044,393fedb4437144ac89ab0978b91cb6cb,2022-07-07T14:51:04Z,LAP716,10.0.19044.2251,2022-12-28T12:11:44Z,10.2.162.109,19044,Windows 10,Windows,normal
19045,3f0a20238da94ac79648439fb1164c8b,2022-01-06T18:43:24Z,LAP717,10.0.19045.2364,2022-12-28T12:10:41Z,10.4.2.1,19045,Windows 10,Windows,normal
19045,4e571b98a81447dfb05a317e554a2a00,2022-12-09T09:49:54Z,LAP718,10.0.19045.2251,2022-12-12T15:41:34Z,10.3.2.38,19045,Windows 10,Windows,normal
19045,489c5b6cf41b49ce9b1957851a1c657a,2022-12-12T17:56:32Z,LAP718,10.0.19045.2251,2022-12-12T18:42:00Z,10.3.2.43,19045,Windows 10,Windows,normal
19045,8923d2952f304535afdfae94a82a53e2,2022-11-25T13:01:44Z,LAP718,10.0.19045.2251,2022-12-09T07:57:32Z,10.3.2.38,19045,Windows 10,Windows,normal
19044,53af4fc8bfcb46cba9a9ce72a0f73c80,2022-04-26T07:32:13Z,LAP719,10.0.19044.1889,2022-12-28T11:22:28Z,192.168.1.162,19044,Windows 10,Windows,normal
19045,01306c7980c4499e8b233312bf568cca,2022-03-11T15:07:37Z,LAP720,10.0.19045.2364,2022-12-28T12:04:03Z,10.4.2.21,19045,Windows 10,Windows,normal
19045,4174c14d68f444f5a6af94707fae90c4,2022-04-26T06:31:38Z,LAP721,10.0.19045.2364,2022-12-28T09:04:00Z,192.168.20.34,19045,Windows 10,Windows,normal
19045,3563853d68f44410a2a335ee636d8442,2022-06-07T07:01:22Z,LAP722,10.0.19045.2364,2022-12-27T14:45:57Z,10.3.2.2,19045,Windows 10,Windows,normal
19045,099b76806d0540b89b52c3187f0c78d4,2022-09-05T17:46:27Z,LAP723,10.0.19045.2364,2022-12-28T11:08:29Z,10.3.6.48,19045,Windows 10,Windows,normal
19045,2606514ffc66409292b4ce38a6fbffd1,2022-03-17T15:34:27Z,LAP724,10.0.19045.2364,2022-12-27T07:41:44Z,192.168.1.10,19045,Windows 10,Windows,normal
19045,57a3634713e049cabeaa9f4f2426d08f,2022-03-11T13:45:17Z,LAP725,10.0.19045.2364,2022-12-28T12:04:22Z,172.20.10.5,19045,Windows 10,Windows,normal
19045,4dfb3c4f3af04463beb1ab7cb700bd73,2022-07-04T16:01:32Z,LAP726,10.0.19045.2364,2022-12-23T18:22:59Z,10.2.162.98,19045,Windows 10,Windows,normal
19043,7499213b5c8849a7b22e0e0a550b1680,2022-04-25T14:36:40Z,LAP727,10.0.19043.1706,2022-12-28T12:08:17Z,10.4.2.4,19043,Windows 10,Windows,normal
19045,6c33bdf331e24c559c18c2171eca07ca,2022-04-26T07:31:38Z,LAP728,10.0.19045.2364,2022-12-28T12:05:16Z,192.168.1.13,19045,Windows 10,Windows,normal
19045,7c66d92936884175a0506227164993fc,2022-06-02T09:01:13Z,LAP729,10.0.19045.2251,2022-12-20T15:20:44Z,192.168.0.24,19045,Windows 10,Windows,normal
19045,817dee93687d4cfc9ee9fd91f3e5ef72,2022-12-09T09:49:28Z,LAP730,10.0.19045.2251,2022-12-22T11:16:03Z,10.3.2.6,19045,Windows 10,Windows,normal
19045,44d6d38c15a64ddf8f04708fe5068f3f,2022-11-09T18:01:07Z,LAP730,10.0.19045.1889,2022-11-15T07:49:42Z,10.3.2.18,19045,Windows 10,Windows,normal
19045,8fa4edcf5e434fe3bd6468644d65b8cf,2022-12-23T13:28:37Z,LAP730,10.0.19045.2364,2022-12-23T14:31:48Z,10.3.2.2,19045,Windows 10,Windows,normal
19045,1023a6cd7ab044f9b083ea27d8564a3e,2022-01-13T19:29:46Z,LAP731,10.0.19045.2251,2022-12-23T20:39:35Z,10.2.161.227,19045,Windows 10,Windows,normal
19045,c0d9c9918d084741ab804c429a52d62e,2022-04-26T07:35:10Z,LAP732,10.0.19045.2364,2022-12-23T15:24:06Z,10.2.162.72,19045,Windows 10,Windows,normal
19045,62cc72228c8344268b71715932653dab,2022-04-26T11:35:01Z,LAP733,10.0.19045.2251,2022-12-28T12:02:38Z,10.2.163.147,19045,Windows 10,Windows,normal
19045,f399078caba3445c8d7f52409d90d101,2022-04-14T13:32:26Z,LAP734,10.0.19045.2251,2022-12-28T12:04:51Z,10.3.6.132,19045,Windows 10,Windows,normal
19044,d3a9cc302fd4469f8bb6f4f462ae0230,2022-06-02T09:01:39Z,LAP735,10.0.19044.1889,2022-12-21T16:02:54Z,10.3.6.19,19044,Windows 10,Windows,normal
19045,a2eb21594901478d964f43824b7008ac,2022-06-03T06:21:46Z,LAP737,10.0.19045.2364,2022-12-28T12:12:03Z,10.4.2.7,19045,Windows 10,Windows,normal
19045,296615e7dc0e492bae02fecbfdd384a0,2022-06-02T10:04:48Z,LAP738,10.0.19045.2364,2022-12-28T12:07:52Z,10.3.6.53,19045,Windows 10,Windows,normal
19045,f1f32b6e5af643469dc49d5250fef662,2022-04-25T15:35:59Z,LAP739,10.0.19045.2364,2022-12-28T12:05:38Z,10.2.162.110,19045,Windows 10,Windows,normal
19045,76297c793fd042f49826a07a5988235b,2022-04-25T14:36:40Z,LAP740,10.0.19045.2364,2022-12-23T14:58:35Z,10.2.162.87,19045,Windows 10,Windows,normal
19043,970bc6c3ab2e48cda8df1f5dc025208c,2022-06-07T06:32:43Z,LAP741,10.0.19043.1889,2022-12-26T11:43:54Z,10.2.162.99,19043,Windows 10,Windows,normal
19045,3c85ef318b2347af9f07375e2325a917,2022-04-25T13:33:25Z,LAP742,10.0.19045.2364,2022-12-26T15:38:36Z,10.2.162.85,19045,Windows 10,Windows,normal
19045,c92178980e5e4e1cba508c31ffb661ee,2022-02-15T07:01:35Z,LAP743,10.0.19045.2364,2022-12-28T12:02:58Z,10.2.162.107,19045,Windows 10,Windows,normal
19045,5672da6bd9d84dab8cf4fa5acecad626,2022-06-07T15:04:35Z,LAP744,10.0.19045.2251,2022-12-28T12:04:51Z,192.168.1.81,19045,Windows 10,Windows,normal
19045,faacbe2b78a94b16988445e8c9a99288,2022-10-26T08:57:18Z,LAP745,10.0.19045.2364,2022-12-28T11:35:29Z,192.168.1.10,19045,Windows 10,Windows,normal
19045,896f11f3a7a847eeab2c9586a5a1eda2,2022-04-25T13:31:13Z,LAP746,10.0.19045.2364,2022-12-28T12:05:21Z,10.2.162.124,19045,Windows 10,Windows,normal
19043,d01fa4e6f82449879aa77784df4e23c8,2022-09-02T06:36:14Z,LAP747,10.0.19043.1766,2022-12-28T10:55:25Z,10.4.2.11,19043,Windows 10,Windows,normal
19045,233ab78228394116aa7d2162868aab53,2022-03-15T07:09:35Z,LAP748,10.0.19045.2251,2022-12-23T14:54:56Z,10.4.2.5,19045,Windows 10,Windows,normal
19045,9a8ce9148171403fbe3910e982b1ace4,2022-04-15T09:23:24Z,LAP749,10.0.19045.2364,2022-12-28T12:11:38Z,10.2.162.119,19045,Windows 10,Windows,normal
19045,6b225acae41e41fdb80c2f7d422fb69a,2022-03-23T08:09:02Z,LAP750,10.0.19045.2364,2022-12-23T16:18:03Z,10.2.162.70,19045,Windows 10,Windows,normal
19045,c6e9b949a0214a14a7f0da2b995f5111,2022-04-26T08:36:27Z,LAP751,10.0.19045.2251,2022-12-28T11:04:19Z,10.2.162.120,19045,Windows 10,Windows,normal
19045,f365573283fd4ee89398c1f815a073e1,2022-04-25T13:31:06Z,LAP752,10.0.19045.2364,2022-12-28T12:05:16Z,10.4.2.9,19045,Windows 10,Windows,normal
19045,183e431daaf346efa0e72d1e7be912e6,2022-03-17T07:55:09Z,LAP753,10.0.19045.2364,2022-12-28T11:27:33Z,10.4.6.3,19045,Windows 10,Windows,normal
19045,cc8b0180aa26424f9c35c0b9400c72cb,2022-03-21T06:34:27Z,LAP754,10.0.19045.2364,2022-12-28T10:55:01Z,10.2.162.104,19045,Windows 10,Windows,normal
19045,db55b79e642c490e86054fcebe8faec3,2022-06-02T11:01:19Z,LAP755,10.0.19045.2251,2022-12-23T16:53:52Z,10.2.162.59,19045,Windows 10,Windows,normal
19043,e6a0bf3c07d244258f5b4004911085fa,2022-04-25T13:33:52Z,LAP756,10.0.19043.2006,2022-12-28T12:11:53Z,10.4.2.19,19043,Windows 10,Windows,normal
19045,9222c442199b48e599d8030417012bea,2022-08-23T06:29:22Z,LAP757,10.0.19045.2364,2022-12-27T17:30:28Z,192.168.1.190,19045,Windows 10,Windows,normal
19045,39659210b6e74e41b6c5baf526a37108,2022-06-03T08:01:38Z,LAP758,10.0.19045.2364,2022-12-28T11:12:09Z,10.3.6.23,19045,Windows 10,Windows,normal
19045,cea5683d27124cebabae5f42d13c2cf2,2022-04-25T13:35:04Z,LAP759,10.0.19045.2251,2022-12-28T12:03:54Z,10.3.6.61,19045,Windows 10,Windows,normal
19045,bcd485020c18436983e74bc55462b49d,2022-04-25T13:31:29Z,LAP760,10.0.19045.2251,2022-12-23T08:36:54Z,192.168.0.13,19045,Windows 10,Windows,normal
19045,1b53861ca7f64ac1908ebb9267dfcf7a,2022-09-15T12:57:33Z,LAP762,10.0.19045.2364,2022-12-28T11:03:06Z,10.3.2.37,19045,Windows 10,Windows,normal
19045,52883bde3d4c4fd79842ac6a56656c3c,2022-06-02T12:14:31Z,LAP763,10.0.19045.2251,2022-12-28T12:06:43Z,192.168.1.23,19045,Windows 10,Windows,normal
19045,06e74c67351945b285b08f11a8e38222,2022-06-03T07:13:02Z,LAP764,10.0.19045.2251,2022-11-30T14:12:44Z,10.3.6.126,19045,Windows 10,Windows,normal
19045,eed2598ef2744e208187726f8bbc0955,2022-12-09T10:01:37Z,LAP764,10.0.19045.2251,2022-12-23T11:26:38Z,10.3.6.12,19045,Windows 10,Windows,normal
19045,cc444bfef04449b48bf3717685022408,2022-03-04T12:10:43Z,LAP765,10.0.19045.2006,2022-12-27T11:41:51Z,192.168.188.122,19045,Windows 10,Windows,normal
19045,1a2d036a5d7c4529ac68510a895cc4c2,2022-04-25T16:34:45Z,LAP766,10.0.19045.2251,2022-12-23T15:29:54Z,192.168.1.92,19045,Windows 10,Windows,normal
19045,e1c728e663b24c819fdbebe23040d6cb,2022-09-30T08:36:50Z,LAP767,10.0.19045.2364,2022-12-28T12:03:22Z,192.168.1.11,19045,Windows 10,Windows,normal
19045,c60272294a2e40c090e44d90e88e574d,2022-02-03T17:15:49Z,LAP768,10.0.19045.2364,2022-12-28T12:10:46Z,192.168.1.102,19045,Windows 10,Windows,normal
19045,e767a07c43ef4be4a9494820485325f2,2022-02-22T06:56:20Z,LAP769,10.0.19045.2364,2022-12-28T10:53:57Z,10.3.2.21,19045,Windows 10,Windows,normal
19045,eb92077c8870443bb8de72eb1c023196,2022-02-21T19:07:07Z,LAP770,10.0.19045.2364,2022-12-26T18:51:30Z,172.20.10.13,19045,Windows 10,Windows,normal
19045,eb1bb0cb6aee4ec39459f941c374c2e0,2022-01-21T17:51:14Z,LAP771,10.0.19045.2364,2022-12-23T15:00:53Z,192.168.56.1,19045,Windows 10,Windows,normal
19045,14a62670e0314d41bacab57693336d1a,2022-04-25T14:31:45Z,LAP772,10.0.19045.2364,2022-12-28T12:04:07Z,10.2.163.156,19045,Windows 10,Windows,normal
19045,a9dd9d1d88c6429296710d1b3ca2fd45,2022-04-25T13:33:37Z,LAP773,10.0.19045.2251,2022-12-28T12:09:20Z,10.2.163.149,19045,Windows 10,Windows,normal
19045,bd438c6bfeb74dc694726aeb88d0eaec,2022-02-23T07:44:04Z,LAP774,10.0.19045.2364,2022-12-28T12:06:57Z,10.3.2.4,19045,Windows 10,Windows,normal
19045,d98c1148961749b48acc27ea0177ba92,2022-02-25T15:34:12Z,LAP775,10.0.19045.2364,2022-12-28T12:04:14Z,10.3.6.60,19045,Windows 10,Windows,normal
19045,598d0568ec74484a9e75f482bbea6111,2022-02-27T11:44:44Z,LAP776,10.0.19045.2251,2022-12-12T13:11:33Z,10.3.6.24,19045,Windows 10,Windows,normal
18363,baf608c44afb43b48e8fa29c8acdfb66,2022-04-25T14:32:27Z,LAP777,10.0.18363.2274,2022-12-23T11:48:27Z,10.3.6.16,18363,Windows 10,Windows,normal
19045,3b9b91d79291412f94f90c9ca575fc19,2022-04-25T14:35:22Z,LAP778,10.0.19045.2251,2022-12-23T17:25:27Z,10.2.162.64,19045,Windows 10,Windows,normal
19045,7caecf4363f64b65b796774527d83fde,2022-06-03T09:05:09Z,LAP779,10.0.19045.2364,2022-12-28T12:12:35Z,192.168.0.40,19045,Windows 10,Windows,normal
19045,6225c5df68d54ac5be3f57766d1a4748,2022-04-26T07:32:08Z,LAP780,10.0.19045.2251,2022-12-27T19:26:19Z,10.77.0.250,19045,Windows 10,Windows,normal
19045,cc23143365664712a2c579a2101a20b6,2022-04-26T07:38:07Z,LAP781,10.0.19045.2251,2022-12-22T14:46:03Z,192.168.0.41,19045,Windows 10,Windows,normal
19045,972dac363c824a0a841acd75bce3ae0e,2022-04-25T14:31:59Z,LAP782,10.0.19045.2251,2022-12-20T12:22:15Z,10.3.6.80,19045,Windows 10,Windows,normal
19045,65e3112d55354ecd8b85f0accdf2f2f8,2022-06-02T11:02:09Z,LAP783,10.0.19045.2251,2022-12-25T06:58:39Z,192.168.0.43,19045,Windows 10,Windows,normal
19045,48b13ea44e584698924c017d6fe75463,2022-06-07T10:06:03Z,LAP785,10.0.19045.2364,2022-12-28T12:06:27Z,192.168.1.21,19045,Windows 10,Windows,normal
19045,6db451bafaa8457ca0ce3215c0169c1d,2022-03-06T12:59:38Z,LAP786,10.0.19045.2251,2022-12-28T10:21:55Z,192.168.1.100,19045,Windows 10,Windows,normal
19045,885ac6b9599746038fe7f8c77721f642,2022-04-25T14:32:30Z,LAP787,10.0.19045.2364,2022-12-28T12:02:36Z,172.20.10.2,19045,Windows 10,Windows,normal
19045,ecb6cc1effc5438a81384653157d1d9e,2022-02-28T07:13:56Z,LAP788,10.0.19045.2251,2022-12-22T17:10:53Z,192.168.1.56,19045,Windows 10,Windows,normal
19045,2d16595bc490481e871726eb7c68389c,2022-01-18T07:26:23Z,LAP789,10.0.19045.2364,2022-12-28T12:02:52Z,10.2.162.121,19045,Windows 10,Windows,normal
19045,bc93cde7544547b9a8cb82e19202afba,2022-04-25T14:32:33Z,LAP790,10.0.19045.2251,2022-12-21T15:51:41Z,192.168.1.14,19045,Windows 10,Windows,normal
19045,3a43de58bd454a2196a22f71cb287b24,2022-07-15T18:50:48Z,LAP791,10.0.19045.2364,2022-12-28T12:03:52Z,10.3.6.32,19045,Windows 10,Windows,normal
19045,a89865bce3cf454495a24aa78218ce06,2022-04-25T15:31:49Z,LAP792,10.0.19045.2251,2022-12-23T18:14:22Z,192.168.1.55,19045,Windows 10,Windows,normal
19045,e440331d22c543ec9209b228e47d4832,2021-12-30T12:50:45Z,LAP793,10.0.19045.2251,2022-12-28T12:02:29Z,192.168.1.30,19045,Windows 10,Windows,normal
19045,5ebda2911f30450bb2b7cdc7fd51f0ef,2022-04-25T17:33:08Z,LAP794,10.0.19045.2364,2022-12-27T14:03:09Z,192.168.1.65,19045,Windows 10,Windows,normal
19045,bbe40b86097e4bed9138a6caccb84459,2022-02-22T07:47:09Z,LAP795,10.0.19045.2251,2022-12-26T16:22:53Z,10.3.6.26,19045,Windows 10,Windows,normal
19045,9b82dbec30bc497fb294d6232cac7485,2022-04-26T12:32:34Z,LAP796,10.0.19045.2251,2022-12-28T11:25:05Z,192.168.1.38,19045,Windows 10,Windows,normal
19045,190eac73bff1431ab0e9131cb94d2d68,2022-06-02T13:02:55Z,LAP797,10.0.19045.2251,2022-12-23T17:31:37Z,192.168.19.148,19045,Windows 10,Windows,normal
